Datetime,beaconid,realx,realy,edge_1,edge_2,edge_3,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13
2018-09-18T20:03:31.500000Z,1,20.840599400000002,7.8216,-74.0,-67.33333333333333,-61.333333333333336,-76.5,-65.5,-75.0,-87.0,-76.0,-69.0
2018-09-18T20:03:32.000000Z,1,20.8567992,8.1448,-62.333333333333336,-59.333333333333336,-55.0,-76.5,-70.33333333333333,-75.0,-79.0,-76.0,-79.33333333333333
2018-09-18T20:03:32.500000Z,1,20.897249,8.809750000000001,-63.25,-58.5,-64.8,-92.0,-75.5,-79.66666666666667,-79.0,-76.0,-79.0
2018-09-18T20:03:33.000000Z,1,20.921498999999997,9.1515,-50.0,-57.0,-59.0,-83.0,-63.333333333333336,-65.0,-78.0,-76.0,-70.0
2018-09-18T20:03:33.500000Z,1,20.945749,9.49325,-67.25,-63.333333333333336,-67.0,-81.5,-69.0,-76.5,-78.0,-83.0,-80.66666666666667
2018-09-18T20:03:34.000000Z,1,21.235665666666666,9.745666666666667,-62.0,-61.333333333333336,-60.0,-81.5,-70.66666666666667,-84.5,-78.0,-82.0,-70.0
2018-09-18T20:03:34.500000Z,1,21.50133233333333,9.656333333333334,-71.0,-61.75,-59.0,-81.5,-87.5,-77.5,-78.0,-79.0,-78.0
2018-09-18T20:03:35.000000Z,1,21.766999,9.567,-75.0,-67.0,-57.8,-72.0,-70.5,-75.0,-82.0,-95.0,-80.5
2018-09-18T20:03:35.500000Z,1,22.032665666666666,9.477666666666666,-65.0,-59.0,-50.333333333333336,-74.5,-74.5,-77.33333333333333,-82.0,-95.0,-81.0
2018-09-18T20:03:36.000000Z,1,22.29833233333333,9.388333333333334,-74.75,-52.0,-50.0,-82.0,-75.0,-77.33333333333333,-82.0,-95.0,-81.0
2018-09-18T20:03:36.500000Z,1,22.790999333333332,9.213333333333333,-65.5,-62.0,-57.0,-85.0,-64.0,-69.0,-85.0,-84.0,-70.0
2018-09-18T20:03:37.000000Z,1,23.017999666666665,9.127666666666666,-70.33333333333333,-62.0,-56.5,-85.0,-77.66666666666667,-74.0,-85.0,-84.0,-83.0
2018-09-18T20:03:37.500000Z,1,23.244999999999997,9.042,-66.0,-52.5,-47.0,-86.0,-75.33333333333333,-80.0,-85.0,-85.0,-73.0
